,orderID,Time,side,last_price,quantity,profit,balance
0,8389765508654839081,"2021-10-09, 00:30:27",BUY,3626.52000,8.300,-253.73267998,471.09636005
1,8389765508654962105,"2021-10-09, 00:33:51",BUY,3634.70000,6.640,0.0,471.09636005
2,8389765508656598416,"2021-10-09, 01:21:28",SELL,3627.29085,6.640,-49.19674,471.09636005
3,8389765508656647402,"2021-10-09, 01:23:28",BUY,3626.80217,6.220,0.0,471.09636005
4,8389765508660723856,"2021-10-09, 03:50:49",SELL,3610.32737,6.220,-102.47324993999999,471.09636005
5,8389765508660754259,"2021-10-09, 03:51:06",BUY,3620.43886,5.431,0.0,471.09636005
6,8389765508660963434,"2021-10-09, 03:56:25",SELL,3621.42883,5.431,5.376499829999999,471.09636005
7,8389765508660975140,"2021-10-09, 03:56:45",SELL,3621.00419,5.420,0.0,471.09636005
8,8389765508661057132,"2021-10-09, 03:59:09",BUY,3627.67525,5.420,-36.15715995,471.09636005
9,8389765508661062658,"2021-10-09, 03:59:16",BUY,3629.64000,5.401,0.0,471.09636005
10,8389765508661248447,"2021-10-09, 04:04:13",SELL,3621.16587,5.401,-45.76879,471.09636005
11,8389765508661269680,"2021-10-09, 04:04:48",SELL,3619.38729,5.203,0.0,471.09636005
12,8389765508661318679,"2021-10-09, 04:06:19",SELL,3618.10000,1.318,0.0,471.09636005
13,8389765508667287512,"2021-10-09, 07:00:11",BUY,3574.47000,6.521,291.20901998,471.09636005
14,8389765508673937525,"2021-10-09, 10:00:04",SELL,3558.00013,6.490,0.0,471.09636005
15,8389765508681156460,"2021-10-09, 14:00:59",BUY,3597.21081,6.490,-254.47726996,471.09636005
16,8389765508681191710,"2021-10-09, 14:01:14",BUY,3606.32585,4.730,0.0,471.09636005
17,8389765508686037606,"2021-10-09, 16:30:11",SELL,3589.00882,4.730,-81.90955997,471.09636005
18,8389765508689117997,"2021-10-09, 18:03:54",SELL,3595.04067,4.407,0.0,471.09636005
19,8389765508692458932,"2021-10-09, 19:30:14",BUY,3610.24640,4.407,-67.01162995,471.09636005
20,8389765508693519367,"2021-10-09, 20:00:02",SELL,3600.27903,3.630,0.0,471.09636005
21,8389765508697612228,"2021-10-09, 22:00:16",BUY,3627.82000,3.630,-99.97371996999999,471.09636005
