,open,high,low,close
0,4028.45,4040.5,3947.4,3970.15
1,3970.15,3991.45,3890.0,3979.1
2,3979.1,3981.8,3939.55,3942.55
3,3942.55,3975.95,3921.0,3961.25
4,3961.25,3986.5,3942.25,3986.05
5,3986.05,4001.65,3977.2,3980.6
6,3980.6,3986.0,3929.6,3952.4
7,3952.4,3981.65,3948.75,3973.9
8,3973.9,3988.45,3972.25,3973.65
9,3973.65,4006.1,3950.35,4004.8
10,4004.8,4012.85,3991.5,4012.8
11,4012.8,4039.0,4012.55,4033.85
12,4033.85,4038.95,4019.05,4025.75
13,4025.75,4053.75,4024.1,4040.05
14,4040.05,4044.95,3991.8,4013.45
15,4013.45,4029.0,3996.75,4028.0
16,4028.0,4030.0,4005.15,4014.55
17,4014.55,4028.2,4012.3,4024.2
18,4024.2,4030.0,3972.0,4000.8
19,4000.8,4006.1,3954.35,3957.9
20,3957.9,4048.8,3940.0,4040.8
21,4040.8,4062.35,4037.0,4042.65
22,4042.65,4048.45,4022.6,4031.5
23,4031.5,4045.45,4020.0,4030.0
24,4030.0,4099.55,4028.0,4089.8
25,4089.8,4130.9,4067.5,4088.9
26,4088.9,4110.5,4083.65,4109.05
27,4109.05,4120.3,4099.55,4114.25
28,4114.25,4116.5,4085.0,4087.5
29,4087.5,4091.9,4073.7,4090.75
30,4090.75,4113.8,4087.6,4092.65
31,4092.65,4133.5,4088.25,4119.0
32,4119.0,4176.95,4116.0,4171.25
33,4171.25,4188.7,4138.7,4147.25
34,4147.25,4150.0,4123.0,4137.0
35,4137.0,4148.0,4123.0,4145.45
36,4145.45,4151.2,4133.4,4136.35
37,4136.35,4140.0,4102.75,4109.35
38,4109.35,4128.1,4103.25,4115.95
39,4115.95,4125.0,4083.45,4091.55
40,4091.55,4109.45,4079.4,4098.8
41,4098.8,4102.85,4076.0,4077.2
42,4077.2,4130.0,4062.4,4095.4
43,4095.4,4112.05,4088.85,4096.25
44,4096.25,4096.9,4027.15,4030.0
45,4030.0,4067.0,4003.55,4044.05
46,4044.05,4077.4,4031.0,4050.9
47,4050.9,4058.75,4021.0,4022.6
48,4022.6,4040.95,3986.0,4003.5
49,4003.5,4034.4,3973.0,4030.25
50,4030.25,4039.0,4015.35,4025.6
51,4025.6,4025.65,3965.1,3997.95
52,3997.95,4049.65,3995.5,4046.4
53,4046.4,4066.95,4041.05,4066.95
54,4066.95,4100.8,4066.9,4081.0
55,4081.0,4094.7,4062.85,4075.15
56,4075.15,4088.85,4065.6,4085.25
57,4085.25,4150.0,4072.05,4135.7
58,4135.7,4147.95,4118.6,4119.75
59,4119.75,4135.95,4113.65,4135.95
60,4135.95,4144.15,4131.2,4139.7
61,4139.7,4159.4,4138.4,4152.15
62,4152.15,4152.65,4124.0,4130.0
63,4130.0,4136.0,4121.4,4130.6
64,4130.6,4184.0,4120.05,4156.8
65,4156.8,4166.5,4124.8,4128.55
66,4128.55,4148.65,4125.6,4140.8
67,4140.8,4149.8,4111.4,4134.9
68,4134.9,4153.55,4120.2,4130.0
69,4130.0,4137.95,4116.7,4125.0
70,4125.0,4162.0,4112.65,4160.65
71,4160.65,4172.0,4138.0,4152.5
72,4152.5,4216.9,4138.45,4215.4
73,4215.4,4238.75,4201.65,4235.3
74,4235.3,4240.25,4182.2,4190.85
75,4190.85,4218.3,4175.15,4216.6
76,4216.6,4216.65,4182.5,4187.05
77,4187.05,4205.35,4181.0,4185.0
78,4185.0,4210.0,4183.8,4195.35
79,4195.35,4226.4,4185.05,4223.0
80,4223.0,4226.0,4210.15,4220.65
81,4220.65,4261.85,4210.2,4243.65
82,4243.65,4243.9,4223.0,4223.05
83,4223.05,4249.65,4223.0,4237.0
84,4237.0,4241.5,4225.65,4227.85
85,4227.85,4231.8,4191.65,4209.05
86,4209.05,4216.0,4201.0,4201.0
87,4201.0,4204.95,4176.0,4193.7
88,4193.7,4201.7,4180.5,4200.45
89,4200.45,4237.7,4200.45,4216.05
90,4216.05,4217.45,4206.65,4210.85
91,4210.85,4231.0,4200.4,4230.9
92,4230.9,4232.0,4208.4,4217.45
93,4217.45,4223.8,4186.0,4193.75
94,4193.75,4206.55,4185.65,4187.65
95,4187.65,4187.7,4131.0,4155.0
96,4155.0,4202.0,4138.65,4189.4
97,4189.4,4203.65,4139.75,4167.5
98,4167.5,4221.0,4162.2,4219.6
99,4219.6,4232.0,4211.9,4213.0
100,4213.0,4235.2,4208.65,4214.3
101,4214.3,4302.0,4210.15,4267.7
102,4267.7,4277.5,4185.9,4208.3
103,4208.3,4214.8,4093.4,4122.8
104,4122.8,4143.7,4104.3,4130.85
105,4130.85,4165.2,4120.0,4163.1
106,4163.1,4178.1,4152.1,4153.85
107,4153.85,4191.1,4151.0,4185.05
108,4185.05,4232.65,4178.4,4217.0
109,4217.0,4314.6,4212.35,4288.1
110,4288.1,4312.4,4268.85,4278.1
111,4278.1,4286.05,4240.15,4245.05
112,4245.05,4250.7,4135.0,4136.3
113,4136.3,4136.3,3929.0,4048.4
114,4048.4,4049.15,3990.45,4021.05
115,4021.05,4033.75,3956.85,4023.1
116,4023.1,4046.0,3989.45,3996.55
117,3996.55,4024.2,3957.45,4011.5
118,4011.5,4029.35,3991.8,3997.8
119,3997.8,4038.85,3968.05,4022.7
