open_time,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
1634907600,15142808,ETHUSDT,60,60,1634907600,1634907600,10640.09,4144.05,4148.0,4064.95,4067.25,43606589.319
1634911200,15146969,ETHUSDT,60,60,1634911200,1634911200,28074.61,4067.25,4069.4,3968.15,4028.45,112940219.3255
1634914800,15151207,ETHUSDT,60,60,1634914800,1634914800,19394.34,4028.45,4040.5,3947.4,3970.15,77491869.584
1634918400,15155389,ETHUSDT,60,60,1634918400,1634918400,26951.65,3970.15,3991.45,3890.0,3979.1,106390022.0485
1634922000,15159574,ETHUSDT,60,60,1634922000,1634922000,4674.98,3979.1,3981.8,3939.55,3942.55,18506278.4175
1634925600,15163858,ETHUSDT,60,60,1634925600,1634925600,7256.61,3942.55,3975.95,3921.0,3961.25,28631657.1055
1634929200,15168026,ETHUSDT,60,60,1634929200,1634929200,3833.52,3961.25,3986.5,3942.25,3986.05,15185698.835
1634932800,15172269,ETHUSDT,60,60,1634932800,1634932800,6534.02,3986.05,4001.65,3977.2,3980.6,26096121.8155
1634936400,15176485,ETHUSDT,60,60,1634936400,1634936400,4006.47,3980.6,3986.0,3929.6,3952.4,15864363.13
1634940000,15180696,ETHUSDT,60,60,1634940000,1634940000,3586.12,3952.4,3981.65,3948.75,3973.9,14213098.3615
1634943600,15184841,ETHUSDT,60,60,1634943600,1634943600,1541.08,3973.9,3988.45,3972.25,3973.65,6134971.5025
1634947200,15189218,ETHUSDT,60,60,1634947200,1634947200,5385.27,3973.65,4006.1,3950.35,4004.8,21408471.936
1634950800,15193399,ETHUSDT,60,60,1634950800,1634950800,3418.78,4004.8,4012.85,3991.5,4012.8,13676779.8325
1634954400,15197604,ETHUSDT,60,60,1634954400,1634954400,6152.45,4012.8,4039.0,4012.55,4033.85,24772474.016
1634958000,15201818,ETHUSDT,60,60,1634958000,1634958000,3335.72,4033.85,4038.95,4019.05,4025.75,13447773.2355
1634961600,15206052,ETHUSDT,60,60,1634961600,1634961600,3607.38,4025.75,4053.75,4024.1,4040.05,14581914.1755
1634965200,15210217,ETHUSDT,60,60,1634965200,1634965200,8632.45,4040.05,4044.95,3991.8,4013.45,34678570.688
1634968800,15214450,ETHUSDT,60,60,1634968800,1634968800,4683.16,4013.45,4029.0,3996.75,4028.0,18782117.8425
1634972400,15218639,ETHUSDT,60,60,1634972400,1634972400,2019.45,4028.0,4030.0,4005.15,4014.55,8110489.7445
1634976000,15222839,ETHUSDT,60,60,1634976000,1634976000,2073.83,4014.55,4028.2,4012.3,4024.2,8336574.047
1634979600,15227100,ETHUSDT,60,60,1634979600,1634979600,6455.56,4024.2,4030.0,3972.0,4000.8,25798359.0265
1634983200,15231301,ETHUSDT,60,60,1634983200,1634983200,4064.92,4000.8,4006.1,3954.35,3957.9,16165766.8945
